鹌鹑蛋|韭菜:缓解肾虚腰痛阳痿|香菇:面部易长黑斑 ,猪肝:面生黑斑
莴笋|青蒜 :防止高血压 ,蒜苗:防止高血压,芸豆:补钙|蜂蜜:不利肠胃，易致腹泻,奶酪:乳酪是油脂性食物，而莴苣性寒，二者同食，容易导致消化不良，或腹痛腹泻。同时，莴苣生食时，因洗涤不净，易受寄生虫污染，如钩虫、蛔虫等，
无花果|西洋菜:止咳化痰|
五花肉|紫菜:滋阴润燥,大蒜:可增进营养元素的吸收,丝瓜:营养均衡,山楂:提高蛋白质的利用率，易消化,蘑菇:益气补脾，润燥化痰,冬瓜:利于蛋白质的消化吸收,洋葱:滋阴润燥,萝卜:易消化吸收,茄子:可提高没免疫力,南瓜:降低血糖,白菜:滋阴润燥|杏仁:造成腹痛,甘草:不利于肠胃,田螺:容易伤肠胃，并造成脱发,菊花:中毒,百合:中毒,香菜:耗气,菱角:易造成腹痛,鲫鱼:滞气,鹌鹑:使面色发黑
乌鸡|首乌:滋阴清热，调经活血,山药:滋补,糯米:滋阴补肾,黑木耳:活血补血,枣:滋阴补血,蒜薹:预防高血压,芸豆:补钙|皮皮虾:中毒 ,鲫鱼:中毒,兔肉:中毒,虾:中毒
虾米|紫甘蓝:强壮身体防癌抗病,藕:养血补血|水芹菜:将所含的维生素B1全部破坏 ,芹菜:将所含的维生素B1全部破坏
苋菜|鸡蛋:增强人体免疫力,猪肝:增强人体免疫力|大花蟹:肠胃积滞 ,青蟹:肠胃积滞 ,大闸蟹:肠胃积滞 ,梭子蟹:肠胃积滞 ,甲鱼:一起吃难以消化 ,山葵:中毒 
香菜|羊排:同食对身体虚弱，阳气不足，性冷淡，阳痿症病人有不错的食疗作用,羊肉:去腥 ,羊骨:去腥|梅花肉:耗气伤身,黄瓜:破坏维生素C,猪肝:身体不适,火腿:耗气伤身,五花肉:耗气,排骨:耗气,猪肉:伤身
香干|白萝卜:有利于消化,带鱼:补钙 |蜂蜜:有损听力，腹泻 ,小葱:影响钙质吸收 
香菇|牛肉酱:易于消化,薏米:健脾利湿、理气化痰的功效,鳕鱼:补脑健脑,鲤鱼:提供全面的营养,油菜:防止便秘,荸荠:益胃助食,木瓜:降压减脂,鸡腿:提供高质量蛋白质,仔鸡:改善便秘,牛里脊:易于消化,牛腩:易于消化|鹌鹑蛋:面部易长黑斑 ,河蟹:易引起结石症状 ,基围虾:香菇含有大量异种蛋白，容易引起过敏，而香菇又被列为气喘的引起物之一，两者不宜搭配同吃，哮喘病人尤要注意 ,明虾:香菇含有大量异种蛋白，容易引起过敏，而香菇又被列为气喘的引起物之一，两者不宜搭配同吃，哮喘病人尤要注意 ,北极虾:香菇含有大量异种蛋白，容易引起过敏，而香菇又被列为气喘的引起物之一，两者不宜搭配同吃，哮喘病人尤要注意 ,海虾:香菇含有大量异种蛋白，容易引起过敏，而香菇又被列为气喘的引起物之一，两者不宜搭配同吃，哮喘病人尤要注意 ,西红柿:破坏类胡萝卜素 
香蕉|燕麦片:提高血清素含量，改善睡眠,牛奶:提高维生素B12的吸收,燕麦:提高血清素含量，改善睡眠 ,苹果:防止铅中毒|香芋:同食会使胃不适，感觉胀痛,红薯:一起吃会引起身体不适,芋头:同食会使胃不适，感觉胀痛。 ,土豆:同食面部会生斑。,酸奶: 同食易产生致癌物。
香芋|芹菜:二者同食可补气虚，增食欲，对身体大有裨益,粳米:有散结宽肠、健脾强肾、下气等作用，常食可养颜，适用于大便干燥、便结等症,大枣:大枣具有健脾、益气、补血的功效，能够使血脉通畅，增加皮肤的营养，两者搭配在一起，相得益彰,猪肉:同食对保健和预防糖尿病有较好的作用,牛肉:养血补血，还可以防治食欲不振及便秘,防止皮肤老化|香蕉:同食会使胃不适，感觉胀痛
小白菜|辣椒:促进食欲、帮助消化,猪肉:增强体质|秋黄瓜:破坏维生素C ,黄瓜:破坏维生素C,兔肉:同食容易引起腹泻和呕吐。
小龙虾|燕麦:护心解毒|洋葱:形成草酸钙产生结石
小麦|玉米:提高蛋白质的吸收|小米面:同食对人的脾胃不好，脾胃虚弱者尤要注意 
小米面|粳米:同食可提高营养价值,桂圆:同食有益丹田，补虚损，开肠胃之作用,黄豆:同食可提高蛋白质的吸收利用率,红糖:同食可以健脾胃，补虚损，排除淤血，补充失血 ,桑葚:同食具有保护心血管的功效,鸡蛋:同食用有补脾胃，益气血，活血脉的作用|小麦:同食对人的脾胃不好，脾胃虚弱者尤要注意 ,杏仁:腹泻、呕吐 
小米|黄豆:有利于营养素的吸收,猪心:有助于睡眠,红糖:补虚补血,鸡蛋:整体改善蛋白质的吸收。,大豆:小米的氨基酸中缺乏赖氨酸，而大豆的氨基酸中富含赖氨酸，可以补充小米的不足|杏仁:腹泻、呕吐
虾仁|葡萄:降低蛋白质的营养价值,圆白菜:能强壮身体,防病抗病|
虾|燕麦片:护心解毒,燕麦: 护心解毒,辣椒:提高人体免疫力、具有开胃、消食、壮阳的作用,丝瓜:润肺补肾美肤,藕:改善肝脏功能|葡萄:身体不适 ,圣女果:产生砒霜会中毒 ,西红柿:产生砒霜会中毒 ,水芹菜:伤元气 ,芹菜:伤元气 ,山药:同食会引起腹痛、恶心、呕吐等症状。,洋葱:形成草酸钙产生结石,橙子:同食会引起中毒、危及生命,西瓜:腹痛、腹泻、恶心,木瓜:腹痛头晕，食物中毒,乌鸡:中毒,南瓜:同食会引起痢疾。
西葫芦|豆腐:减肥美容 |芦笋:加重脾胃虚寒
西兰花|腊肠:可减少致癌物生成,金针菇:防癌抗癌,平菇:防癌抗癌,鳕鱼:防癌抗癌 |牛奶:影响钙的吸收 
杏仁|西洋菜:止咳化痰 ,白果:健脾固肾，收涩止带|梅花肉:腹痛,小米面:腹泻、呕吐 ,猪里脊:腹痛,小米:腹泻、呕吐,黄芪:身体不适,葛根:身体不适,板栗:一起吃会胃痛,猪肺:影响蛋白质的吸收,猪蹄:腹痛,火腿:易导致腹痛,五花肉:造成腹痛,排骨:引起腹痛,猪肉:一起吃会引起肚子痛,栗子: 同食会胃痛。
西芹|腐竹:抗疲劳 |
西洋菜|无花果:止咳化痰,杏仁:止咳化痰 ,罗汉果:止咳化痰|
鳕鱼|豆腐:蛋白质的吸收率,香菇:补脑健脑,西兰花:防癌抗癌 |
鸭翅|山药:滋阴补肺的作用,豆豉:降低人体的脂肪含量|李子:伤五脏,木耳:身体不适,栗子:影响营养吸收,甲鱼:水肿腹泻
鸭蛋|银耳:滋肾补脑|甲鱼:二物皆属凉性，不宜一起吃 ,桑葚:同食可能导致胃癌,李子:同食会引起中毒。
洋葱|苦瓜:提高机体的免疫力,鸡蛋:提高人体对维生素c和维生素E的吸收率 ,大蒜:防癌抗癌抗菌消炎,羊排:两者同食能够有效增强机体免疫力,火腿:滋阴润燥,五花肉:滋阴润燥,排骨:滋阴润燥|虾:形成草酸钙产生结石,河虾:形成草酸钙产生结石,小龙虾:形成草酸钙产生结石,皮皮虾:形成草酸钙产生结石,蜂蜜:同食会伤眼睛，引起眼睛不适，严重会失明。
羊骨|刀豆:补肾壮阳 ,海参:养血润燥,香菜:去腥,白萝卜:消积滞、化痰热,豆腐:清热泻火、除烦、止渴 |赤小豆:同食会引起中毒,百合:腹泻,奶酪:二者功能相反，不宜一起吃,板栗:二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐,鲳鱼:影响营养素的吸收,梅干菜:一起吃会引起胸闷,海螺:腹泻,南瓜子:可能会引起腹胀、胸闷等症,竹笋:一起吃会引起中毒，可以用地浆水治疗,豌豆苗:易发生黄疸和脚气病,西瓜:伤元气,醋:羊肉大热，功能益气补虚；醋中含蛋白质、糖、维生素、醋酸及多种有机酸，其性酸温，消肿活血，应与寒性食物配合，与羊肉不宜,南瓜:两补同时，令人肠胃气壅
羊排|香菜:同食对身体虚弱，阳气不足，性冷淡，阳痿症病人有不错的食疗作用,萝卜:同食有比较好的益智健脑的作用，具有助阳，补精，消食，顺气的作用，使补而不滞，适于身体虚弱的人食用。,白果:具有温补肺气，止咳的作用,辣椒:同食可去除羊肉的膻味,豆腐:能够补充人体多类微元素，并且还能够起到清热泻火，除烦，止渴的作用。 ,枸杞:比较适用于肾精衰败，腰背疼痛，性功能减退等。,山药:具有补血，养颜，强身，通便等作用,芹菜:同食对儿童生长发育极为有利,鸡蛋:搭配食用可滋补身体，增强新陈代谢,生姜:同食可以治冷寒腹疼,胡萝卜:同食适于营养不良、贫血、头晕、大便干燥的病人、可以补虚益气、增进血液循环、提高御寒能力，还能帮助消化、补肾壮阳。,柠檬:同食可除掉羊肉的膻味，使食物味道极佳,胡椒面:同食具有温肺化痰的作用,茄子:两者同食能够有效预防心血管病患的发生,洋葱:两者同食能够有效增强机体免疫力|醋:同食会助热发燥，并且还影响羊肉的味道,栗子:会造成胃肠不适感，呕吐,绵白糖:会能降低羊肉的营养价值并且阻碍铜的吸收,梨:同食会造成腹泻，消化不良,荞麦:两者功能反之，最好不要搭配一起吃,竹笋:同食会引起中毒,豆瓣酱:两者功能反之，提议最好不要搭配一起吃,西瓜:同食会损伤元气,赤小豆:两者功能反之，因此不宜搭配一起吃。,菖蒲:同食会降低羊肉的营养价值,南瓜:两者同食会令肠胃气壅，也许造成消化不良,乳酪:同食也许会产生不良生化反应
杨桃|精盐:有助于维持人体的酸碱平衡,菠菜:可防止细胞氧化，还有助于防老抗癌|石榴:同食易上火,芝士:腹泻
燕麦片|虾:护心解毒,绿豆:控制血糖含量,香蕉:提高血清素含量，改善睡眠,黄豆:预防贫血,冬菇:有助于防癌、抗衰老 |
燕麦|绿豆:控制血糖含量,虾: 护心解毒,河虾:护心解毒,小龙虾:护心解毒,皮皮虾:护心解毒,对虾:护心解毒,香蕉:提高血清素含量，改善睡眠 |
鸭肉|白菜:促进血液中胆固醇的代谢,豆豉:降低人体脂肪,栗子:影响营养吸收,山药:补阴养肺|桑葚:同食可能导致胃癌,李子:中毒，伤五脏,木耳:会造成身体不适,甲鱼:久食令人阳虚，水肿腹泻,大蒜:中毒
鸭腿|白菜:促进血液中胆固醇的代谢,山药:滋阴补肺的作用|
椰子|冬瓜:泻肺火|
薏米|白果:健脾除湿、清热排脓的作用,香菇:健脾利湿、理气化痰的功效,枣:活血养颜、减少面部蝴蝶斑、产后面色黒滞等问题|
益母草|金银花:清热解毒|
银耳|青鱼:滋补身体,菊花:润燥除烦 ,冰糖:滋补润肺,墨鱼:滋补肺阴 ,鸭蛋:滋肾补脑,山药:滋阴润肺,百合:滋阴润肺,苹果:润肺止咳,猪腰:补肾,枸杞:美容养颜|白萝卜:易患皮炎
樱桃|大葱:治疗麻疹,绵白糖:治疗慢性气管炎|杨梅:同食使人上火,胡萝卜:降低各自原有的营养价值,黄瓜:破坏维生素C，失去营养价值
银鱼|鸡蛋:增加蛋白质的吸收|红枣:令人腰腹作痛 
油豆腐|带鱼:补钙,海带:预防碘缺乏 ,白萝卜:有利于消化|蜂蜜:有损听力，腹泻
油麦菜|豆腐:镇痛催眠,芝麻酱:补充钙质|
鱿鱼|木耳:使肤质嫩滑,猪蹄:补气养血|番茄酱:加重肾脏负担 
圆白菜|圣女果:预防癌症促进血液循环,海米:补充碘,虾仁:能强壮身体,防病抗病,木耳:补肾壮骨、填精健脑、健脾通络,西红柿:益气生津、预防癌症促进血液循环,辣椒:促进胃肠蠕动、有利于营养物质吸收,胡萝卜:减少癌细胞的产生,猪肉:润肠胃生津健身|黄瓜:影响维生素C的吸收
玉米面|菜花:健脾益胃、补虚、助消化 ,大蒜:养心健胃,苦瓜:清热解暑|牡蛎:影响锌的吸收 ,田螺:一起吃容易中毒，用地浆水可以解毒 ,海螺:身体不适 
玉米|豌豆:蛋白质互补,豇豆:玉米粥对于脾胃虚弱、尿频遗精、动脉硬化、冠心病、高血脂、高血压病人有着很好的食疗效果，适合这些患者长期食用，玉米粥配上,小麦:提高蛋白质的吸收,鸡蛋:防止胆固醇过高,鸽子:防治神经衰弱,山药:吸收更多的营养素,松子:防癌抗癌|红螺:身体不适 ,扇贝:降低锌的吸收量 ,海螺:身体不适,田螺:同食容易中毒。
芸豆|豆腐:适宜慢性肝炎,莴笋:补钙,乌鸡:补钙,猪肉:提高维生素B12的吸收率|田螺:引起结肠癌 
芋头|牛里脊:养血补血,肥牛:具有益气补中，通便的作用。,牛腩:养血补血,牛肉:养血补血|香蕉:同食会使胃不适，感觉胀痛。 
枣|木耳:同食有补血、调经的作用,糯米:可以治疗由阳虚引起的胃部隐痛,红豆:同食起到补益、心脾、消肿、利水的功效,山药:同食对脾胃虚弱、饮食减少、消化不良及营血虚亏有一定作用,松子:养颜益寿、减少皮肤病 ,核桃:提供全面的营养物质、具有美容养颜作用,荔枝:同食具有健脾止泻的作用,大麦:同食可以增进营养吸收,薏米:活血养颜、减少面部蝴蝶斑、产后面色黒滞等问题,栗子:适于肾虚、腰酸背痛者、腿脚无力者、小便频多者,鲤鱼:滋补暖胃、强心补血,花生:补虚、止血,乌鸡:滋阴补血|沙丁鱼:身体不适 ,秋刀鱼:令人腰腹作痛 ,鱼头:消化不良 ,桂鱼:消化不良 ,海蟹:易患寒热病,牛奶:同食影响蛋白质的吸收,萝卜:破坏维生素 C,黄瓜:破坏维生素 C,鲶鱼:导致头发脱落,虾皮:同食会中毒,大葱:同食易使火气更大
章鱼|木瓜:通乳汁|柿子:腹泻
芝麻酱|油麦菜:补充钙质|
芝麻|海带:血液循环净化血液降低胆固醇,核桃:改善皮肤弹性，保持皮肤细腻|鸡胸肉:严重会导致死亡,鸡肉:一起吃严重会导致死亡,鸡腿:影响维生素的吸收,鸡翅:严重会导致死亡
猪肝|青椒:补血,芥菜:有助于钙的吸收,苋菜:增强人体免疫力,菠菜:防治贫血,蒜薹:缓解大脑疲劳,生菜:补充全面营养,白菜:滋补,大白菜:滋补|藕带:同食会降低人体对铁、铜、锌等元素的吸收 ,圣女果: 猪肝使维生素C氧化脱氧，使其失去原来的抗坏血酸功能 ,辣椒:同食降低营养价值,山楂干:加速氧化，会使维生素C和金属遭到破坏,鲫鱼:一起吃具有刺激作用，疮痈热病者忌食,山楂:山楂含维生素C丰富，猪肝含有较多的铜、铁、锌等金属微量元素；维生素C遇到金属离子，则加速氧化，会使维生素C和金属都遭到破坏,黄豆芽:有损营养素的吸收,沙丁鱼:身体不适,山药:山药富维生素c，猪肝中含铜、铁、锌等金属微量元素，维生素c遇金属离子，则加速氧化而破坏，降低了营养价值，故食猪肝后，不宜食山药。,绿豆芽:有损营养素的吸收,鹌鹑蛋:面生黑斑,香菜:身体不适,鲤鱼:同食会影响消化。,荞麦:同食会影响消化。,西红柿:西红柿富含维生素C，猪肝使维生素C氧化脱氧，使其失去原来的抗坏血酸功能。,菜花:菜花含有大量纤维素，纤维素中的醛糖酸残基可与猪肝中的铁、铜、锌等微量元素形成螯合物而降低人体对这些元素的吸收。,豆芽: 猪肝中的铜会加速豆芽中的维生素C氧化，失去其营养价值。
猪肉|香芋:同食对保健和预防糖尿病有较好的作用,芦笋:有利于人体维生素B12的吸收,芸豆:提高维生素B12的吸收率,大蒜:促进血液循环、消除疲劳,小白菜:增强体质,藕:健胃壮体,茄子:降低胆固醇的吸收稳定血糖,白菜:补充营养通便,冬笋:补肝肾,菜花:提高蛋白质的吸收率,圆白菜:润肠胃生津健身,魔芋:滋补营养,南瓜:预防糖尿病,大白菜:补充营养通便|红螺:身体不适 ,基围虾:耗人阴精，造成阴虚火旺，不利于身体健康 ,明虾:耗人阴精，造成阴虚火旺，不利于身体健康 ,北极虾:耗人阴精，造成阴虚火旺，不利于身体健康 ,海虾:耗人阴精，造成阴虚火旺，不利于身体健康 ,首乌:身体不适 ,牛里脊:性味有所抵触,鹌鹑:面生黑斑,刀豆:易发生腹胀，腹泻,梨:伤肾脏,菊花:一起吃严重会导致死亡,海螺:身体不适,羊肝:共烹炒易产生怪味,荞麦:脱发,牛排:性味有所抵触,香菜:伤身,杏仁:一起吃会引起肚子痛,杏:腹痛,雪花梨:伤肾脏,鲫鱼:二者起生化反应，不利于健康,黄豆:腹胀,鸭梨:伤肾脏,驴肉:腹泻,菠菜:减少铜的吸收,百合:一起吃会引起中毒,甘草:同食会引起中毒。,田螺:同食容易脱眉毛。
竹笋|木耳:清热泻火,鲍鱼: 营养全面，易于吸收|猪小排:影响钙的吸收 ,红糖: 形成赖氨酸糖基，对人体不利 ,糖浆:一起吃会引起中毒 ,羊骨:一起吃会引起中毒，可以用地浆水治疗,羊肝:一起吃会引起中毒,羊排:同食会引起中毒,羊肉:一起吃会引起中毒，可以用地浆水治疗
竹荪|鸡腿菇:提高营养素的吸收率,百合:润肺止咳|
猪蹄|花生:催乳,鱿鱼:补气养血|杏仁:腹痛,杏:腹痛,梨:伤肾脏,黄豆:腹胀
猪小排|红薯:增加营养素的吸收,冬瓜:祛湿|鲫鱼:影响营养素的吸收 ,竹笋:影响钙的吸收 ,苦瓜:形成草酸钙阻碍钙的吸收
猪腰|银耳:补肾|田螺:腹痛,白萝卜:影响消化
紫菜|鸡蛋:有利于营养素的吸收,青萝卜: 清肺热治咳嗽,紫甘蓝:能吸收到更高的营养,白萝卜:清肺热治咳嗽,火腿:滋阴润燥,五花肉:滋阴润燥,排骨:滋阴润燥|柿子:影响钙的吸收
紫甘蓝|虾米:强壮身体防癌抗病,鲤鱼:营养吸收更全面,紫菜:能吸收到更高的营养|苹果:影响维生素的吸收 
仔鸡|油菜:健肝,松子:增强抵抗力,茶树菇:增进蛋白质吸收,板栗:补血,豇豆:增进食欲,冬瓜:消肿清热利尿,茼蒿:充分吸收维生素A,香菇:改善便秘|芥末酱:助火热,鲍鱼:影响消化吸收,红薯:腹痛,菊花:中毒,李子:疟疾,糯米:消化不良,兔肉:腹泻
青椒|糙米:防止维生素C被氧化,鲳鱼:促进维生素C的吸收 ,苦瓜:抗衰老,鸡翅:补充维生素C,猪肝:补血,鸡蛋:缺乏维生素C是鸡蛋唯一的“短处”，搭配青椒等，就可以弥补。|黄瓜:破坏维生素C
生菜|豆腐:减肥健美,海带:促进铁的吸收,鸡蛋:滋阴润燥清热解毒,猪肝:补充全面营养|蜂蜜:一起吃易导致腹泻 ,积雪草:影响药效 
桃|牛奶:滋养皮肤|甲鱼:心痛
香椿|鸡蛋:润滑肌肤|牛奶:腹胀,菜花:因为香椿中含有丰富的钙质，而菜花中所含的化学成分会影响到钙质的消化和吸收。所以，香椿不适宜和菜花一同食用。 ,黄瓜:黄瓜中含有维生素C分解酶，会破坏到香椿中的维生素C，影响人体对维生素C的吸收，使营养大大降低，故香椿和黄瓜也不宜同食。
西红柿|三文鱼:滋润肌肤抗衰老,菜花:降血脂降血压,圆白菜:益气生津、预防癌症促进血液循环,鸡蛋:缺乏维生素C是鸡蛋唯一的‘短处’，搭配番茄就可以弥补。|青鱼:不利于营养成分的吸收 ,鱼头:影响铜的吸收 ,桂鱼 :影响铜的吸收 ,河蚌:变成砒霜 ,虾:产生砒霜会中毒 ,河蟹:一起吃会引起腹泻 ,皮皮虾:产生砒霜会中毒 ,螃蟹:产生砒霜会中毒 ,香菇:破坏类胡萝卜素 ,黄瓜:西红柿中含大量维生素C，有增强机体抵抗力、防治坏血病、抵抗感染等作用；而黄瓜中含有维生素C分解酶，一起吃可使其中的维生素C遭到破坏,红薯:一起吃会得结石病，呕吐、腹痛、腹泻,地瓜:同食会得结石病，呕吐、腹痛、腹泻。,土豆:土豆会在人体的胃肠中产生大量的盐酸。西红柿在较强的酸性环境中会产生不溶于水的沉淀，从而导致食欲不佳，消化不良。,胡萝卜:维生素C丰富的食品搭配合吃，就会把维生素C破坏。,猪肝:西红柿富含维生素C，猪肝使维生素C氧化脱氧，使其失去原来的抗坏血酸功能。
羊肉|辣椒:去除羊肉膻味,白果:温补肺气，止咳的作用,豆腐:清热泻火、除烦、止渴,白萝卜:消积滞、化痰热,香菜:去腥 ,海参:养血润燥,刀豆:补肾壮阳|红螺:腹泻 ,首乌:身体不适 ,豆苗:易发生黄疸和脚气病 ,栗子:二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐,南瓜:两补同时，令人肠胃气壅,西瓜:伤元气,豌豆苗:易发生黄疸和脚气病,竹笋:一起吃会引起中毒，可以用地浆水治疗,南瓜子:可能会引起腹胀、胸闷等症。,海螺:腹泻,鲳鱼:影响营养素的吸收,板栗:二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐,奶酪:二者功能相反，不宜一起吃,百合:腹泻,赤小豆:同食会引起中毒,醋:羊肉大热，功能益气补虚；醋中含蛋白质、糖、维生素、醋酸及多种有机酸，其性酸温，消肿活血，应与寒性食物配合，与羊肉不宜。,梅干菜:同食回引起胸闷。
油菜|海虾:可提供更多人体所需的钙质 ,北极虾:可提供更多人体所需的钙质,明虾:可提供更多人体所需的钙质,基围虾:可提供更多人体所需的钙质,豆腐:清肺止咳,香菇:防止便秘,金针菇:预防大肠癌和胃癌,鸡肉:强化肝脏美化肌肤 ,鸡胸肉:强化肝脏美化肌肤 ,鸡爪:促进胶原蛋白的吸收,仔鸡:健肝|黄瓜:降级维生素C的吸收,南瓜:降低维生素C的吸收
